Movie,vote_average,revenue,,,,,,,,,,,
Toy Story,7.7,373554033,,,,vote_average,revenue,,,,,,
Napoleon Dynamite,6.7,46118097,,,,,,,,,,,
City of Joy,6.3,14683921,,,,,,,,,,,
The Doctor,6.6,38120905,,,,,,,,,,,
Father Hood,5.5,3418141,,,,,,,,,,,
For Me and My Gal,6.2,4371000,,,,,,,,,,,
Hello Again,5.1,20419446,,,,,,,,,,,
Lover Come Back,6.5,8,,,,,,,,,,,
Police Academy: Mission to Moscow,4.1,126247,,,,,,,,,,,
Star!,6,14000000,,,,,,,,,,,
The Molly Maguires,5.9,2200000,,,,,,,,,,,
Meet the Applegates,5,485772,,,,,,,,,,,
Sands of Iwo Jima,6.2,7800000,,,,,,,,,,,
Super Size Me,6.6,28575078,,,,,,,,,,,
The Born Losers,5.3,36000000,,,,,,,,,,,
The Cincinnati Kid,7,15260000,,,,,,,,,,,
The Hitcher,6.9,5844868,,,,,,,,,,,
Show Boat,6.9,11000000,,,,,,,,,,,
Around the World in 80 Days,5.7,72178895,,,,,,,,,,,
I'll Sleep When I'm Dead,5.3,490964,,,,,,,,,,,
DodgeBall: A True Underdog Story,6.2,167722310,,,,,,,,,,,
The Terminal,7.1,219417255,,,,,,,,,,,
White Chicks,6.3,113086475,,,,,,,,,,,
The Notebook,7.7,115603229,,,,,,,,,,,
Bob & Carol & Ted & Alice,6.2,30000000,,,,,,,,,,,
Rapa Nui,6.2,305070,,,,,,,,,,,
Juice,7,20146880,,,,,,,,,,,
Revenge of the Pink Panther,6.4,49579269,,,,,,,,,,,
Taxi,6.5,268254,,,,,,,,,,,
Taxi 3,5.5,65497208,,,,,,,,,,,
Overboard,6.7,26713187,,,,,,,,,,,
Fahrenheit 9/11,6.9,119114517,,,,,,,,,,,
Roxanne,6.4,40050884,,,,,,,,,,,
Search and Destroy,6.1,389503,,,,,,,,,,,
Hard Times,6.7,5000000,,,,,,,,,,,
Secret Society,0,4275,,,,,,,,,,,
The Last Starfighter,6.5,28733290,,,,,,,,,,,
Tank,5.8,14134877,,,,,,,,,,,
Spider-Man 2,6.7,783766341,,,,,,,,,,,
Before Sunset,7.6,15992615,,,,,,,,,,,
The Clearing,5.6,12520799,,,,,,,,,,,
King Arthur,6.1,203567857,,,,,,,,,,,
Anchorman: The Legend of Ron Burgundy,6.7,90574188,,,,,,,,,,,
A Cinderella Story,6.1,70067909,,,,,,,,,,,
"I, Robot",6.7,347234916,,,,,,,,,,,
Gray Lady Down,6.7,5438927,,,,,,,,,,,
How the West Was Won,6.6,50000000,,,,,,,,,,,
The Bourne Supremacy,7.2,288500217,,,,,,,,,,,
Catwoman,4.2,82102379,,,,,,,,,,,
A Home at the End of the World,6.8,1548955,,,,,,,,,,,
Stay Hungry,5.8,24854765,,,,,,,,,,,
Shalako,5.4,2620000,,,,,,,,,,,
The Comfort of Strangers,5.9,1244381,,,,,,,,,,,
The New Adventures of Pippi Longstocking,5.8,3569939,,,,,,,,,,,
The Super,5.5,11000863,,,,,,,,,,,
Two of a Kind,5.7,23646952,,,,,,,,,,,
Biggles,5.1,112132,,,,,,,,,,,
Dressed to Kill,6.8,31899000,,,,,,,,,,,
The Manchurian Candidate,7.7,96105910,,,,,,,,,,,
Thunderbirds,4.2,28283637,,,,,,,,,,,
The Village,6.2,256697520,,,,,,,,,,,
Garden State,7.1,26781723,,,,,,,,,,,
Collateral,7,217764291,,,,,,,,,,,
Little Black Book,5.2,22034832,,,,,,,,,,,
In the Soup,5.9,256249,,,,,,,,,,,
Harold & Kumar Go to White Castle,6.6,23936908,,,,,,,,,,,
The Princess Diaries 2: Royal Engagement,6,95149435,,,,,,,,,,,
AVP: Alien vs. Predator,5.6,171183863,,,,,,,,,,,
Yu-Gi-Oh! The Movie,5.4,29170410,,,,,,,,,,,
We Don't Live Here Anymore,5.8,2037545,,,,,,,,,,,
Without a Paddle,5.3,69631118,,,,,,,,,,,
Exorcist: The Beginning,4.7,78000586,,,,,,,,,,,
Double Trouble,6.1,1600000,,,,,,,,,,,
The Sting II,4.5,6347072,,,,,,,,,,,
Anacondas: The Hunt for the Blood Orchid,4.9,70992898,,,,,,,,,,,
Suspect Zero,5.5,13000000,,,,,,,,,,,
Vanity Fair,5.5,16123851,,,,,,,,,,,
The Cookout,4.6,12,,,,,,,,,,,
Paparazzi,5.8,16605763,,,,,,,,,,,
Wicker Park,6.7,13001257,,,,,,,,,,,
A Million to Juan,4.3,1221832,,,,,,,,,,,
Highwaymen,5.8,371396,,,,,,,,,,,
Under the Cherry Moon,5.7,10090429,,,,,,,,,,,
Flipper,5.3,20080020,,,,,,,,,,,
Night of the Demons,6.1,3109904,,,,,,,,,,,
Superbabies: Baby Geniuses 2,1.9,9109322,,,,,,,,,,,
Cellular,6.1,56422687,,,,,,,,,,,
Resident Evil: Apocalypse,6.1,129394835,,,,,,,,,,,
Mr. 3000,5,21800302,,,,,,,,,,,
Sky Captain and the World of Tomorrow,5.7,57958696,,,,,,,,,,,
Wimbledon,6,41512007,,,,,,,,,,,
The Forgotten,5.5,117575636,,,,,,,,,,,
A Dirty Shame,5.4,1914166,,,,,,,,,,,
Shaun of the Dead,7.5,30039392,,,,,,,,,,,
Murder on the Orient Express,6.9,27634716,,,,,,,,,,,
Mask,7,42400000,,,,,,,,,,,
Alexander's Ragtime Band,4.8,4000000,,,,,,,,,,,
The Last Flight of Noah's Ark,5.7,11000000,,,,,,,,,,,
The Sentinel,6.3,3,,,,,,,,,,,
Orca: The Killer Whale,5.5,14717854,,,,,,,,,,,
1492: Conquest of Paradise,6.1,7191399,,,,,,,,,,,
Shark Tale,5.8,367275019,,,,,,,,,,,
Ladder 49,6.2,74541707,,,,,,,,,,,
Raise Your Voice,6,14867514,,,,,,,,,,,
Taxi,6.5,268254,,,,,,,,,,,
Primer,6.9,424760,,,,,,,,,,,
Stage Beauty,7,776691,,,,,,,,,,,
Team America: World Police,6.6,50907422,,,,,,,,,,,
Cannonball,5.7,1500000,,,,,,,,,,,
All I Want For Christmas,5.6,14812000,,,,,,,,,,,
Friday Night Lights,7,61255921,,,,,,,,,,,
Tarnation,7.5,1162014,,,,,,,,,,,
The Final Cut,5.9,548039,,,,,,,,,,,
Surviving Christmas,5.1,14793624,,,,,,,,,,,
The Grudge,5.8,183474602,,,,,,,,,,,
Sideways,6.9,109502303,,,,,,,,,,,
The Machinist,7.3,8203235,,,,,,,,,,,
Undertow,5.9,143597,,,,,,,,,,,
Saw,7.2,103911669,,,,,,,,,,,
Ray,7.2,124731534,,,,,,,,,,,
The Incredibles,7.4,631442092,,,,,,,,,,,
The Polar Express,6.4,305875730,,,,,,,,,,,
Seed of Chucky,4.9,24829644,,,,,,,,,,,
After the Sunset,6,61347797,,,,,,,,,,,
Bridget Jones: The Edge of Reason,6.1,40203020,,,,,,,,,,,
Finding Neverland,7.2,116766556,,,,,,,,,,,
Veer-Zaara,7.5,29385320,,,,,,,,,,,
National Treasure,6.4,347451894,,,,,,,,,,,
The SpongeBob SquarePants Movie,6.7,140161792,,,,,,,,,,,
Alexander,5.6,167298192,,,,,,,,,,,
Closer,6.7,115505027,,,,,,,,,,,
Ocean's Twelve,6.4,362744280,,,,,,,,,,,
Blade: Trinity,5.7,128905366,,,,,,,,,,,
The Bellboy,6.1,10000000,,,,,,,,,,,
Cinderfella,6.7,7100000,,,,,,,,,,,
The Ladies Man,5.7,13700000,,,,,,,,,,,
Stateside,5.6,174318,,,,,,,,,,,
D.A.R.Y.L.,6.2,7840873,,,,,,,,,,,
Fire in the Sky,6.5,19724334,,,,,,,,,,,
Control Room,7.7,2586511,,,,,,,,,,,
The Cheat,4.8,137365,,,,,,,,,,,
The Last of the Mohicans,7.1,75505856,,,,,,,,,,,
The Hunchback of Notre Dame,6.8,100138851,,,,,,,,,,,
The Big Parade,7,22000000,,,,,,,,,,,
Monkey Business,6.8,2000000,,,,,,,,,,,
Scarface,8,65884703,,,,,,,,,,,
She Done Him Wrong,5.2,2200000,,,,,,,,,,,
The Informer,6.5,950000,,,,,,,,,,,
The Raven,6.3,1499275,,,,,,,,,,,
Show Boat,6.9,11000000,,,,,,,,,,,
Boom Town,6.5,9172000,,,,,,,,,,,
The Hard Way,6.1,65595485,,,,,,,,,,,
A Guy Named Joe,6,5363000,,,,,,,,,,,
Great Expectations,6.4,55494066,,,,,,,,,,,
3 Godfathers,6.1,2841000,,,,,,,,,,,
Fort Apache,6.8,3000000,,,,,,,,,,,
The Pirate,6.6,2956000,,,,,,,,,,,
The Three Musketeers,6.2,53898845,,,,,,,,,,,
Annie Get Your Gun,7.3,8000000,,,,,,,,,,,
Carrie,7,33800000,,,,,,,,,,,
The Nun's Story,7.4,12800000,,,,,,,,,,,
Eegah,2.8,3274,,,,,,,,,,,
The Music Man,6.7,8000000,,,,,,,,,,,
Mutiny on the Bounty,7.1,4460000,,,,,,,,,,,
Dracula: Prince of Darkness,6.1,364937,,,,,,,,,,,
Major Dundee,6.2,14873,,,,,,,,,,,
The Train,7.2,6800000,,,,,,,,,,,
Au hasard Balthazar,7.8,39388,,,,,,,,,,,
Batman,7,411348924,,,,,,,,,,,
Point Blank,7.1,3200000,,,,,,,,,,,
The War Wagon,6.6,6000000,,,,,,,,,,,
Last Summer,5,3,,,,,,,,,,,
Zabriskie Point,7.1,1000000,,,,,,,,,,,
Sweet Sweetback's Baadasssss Song,4.7,15200000,,,,,,,,,,,
Walking Tall,6,57223890,,,,,,,,,,,
"Farewell, My Lovely",6.8,2000000,,,,,,,,,,,
French Connection II,6.6,12484444,,,,,,,,,,,
The Great Waldo Pepper,6,20642922,,,,,,,,,,,
Silver Streak,6.8,51079064,,,,,,,,,,,
High Anxiety,6.5,31063038,,,,,,,,,,,
Sorcerer,7.5,12000000,,,,,,,,,,,
The In-Laws,5.6,20440627,,,,,,,,,,,
Love at First Bite,5.8,43885000,,,,,,,,,,,
Bad Boys,6.5,141407024,,,,,,,,,,,
Blue Thunder,5.9,42313354,,,,,,,,,,,
The Pirates of Penzance,5.5,694497,,,,,,,,,,,
Rumble Fish,6.8,2494480,,,,,,,,,,,
Star 80,6.1,6472990,,,,,,,,,,,
Strange Invaders,5.2,1362303,,,,,,,,,,,
Twilight Zone: The Movie,6.2,29450919,,,,,,,,,,,
Suburbia,6.4,656747,,,,,,,,,,,
Yellowbeard,5.7,4300000,,,,,,,,,,,
Irreconcilable Differences,5,12384120,,,,,,,,,,,
Next of Kin,5,15942628,,,,,,,,,,,
Racing with the Moon,5.8,6045657,,,,,,,,,,,
Bliss,4.8,294064,,,,,,,,,,,
Mishima: A Life in Four Chapters,7.7,502758,,,,,,,,,,,
White Nights,6.2,42160849,,,,,,,,,,,
Club Paradise,4.3,12308521,,,,,,,,,,,
Solarbabies,5.1,1579260,,,,,,,,,,,
Prince of Darkness,6.6,14182492,,,,,,,,,,,
The Bourne Identity,7.3,214034224,,,,,,,,,,,
Prison,6.7,354704,,,,,,,,,,,
Cry-Baby,6.4,8266343,,,,,,,,,,,
Downtown,5.9,2346150,,,,,,,,,,,
Frankenhooker,5.7,205068,,,,,,,,,,,
Ghost Dad,4.5,24707633,,,,,,,,,,,
Hard to Kill,5.6,47410000,,,,,,,,,,,
Havana,5.5,9243140,,,,,,,,,,,
Lionheart,5.9,24078196,,,,,,,,,,,
Riff-Raff,6.4,295444,,,,,,,,,,,
Closet Land,6.6,259012,,,,,,,,,,,
Dutch,6.4,4603929,,,,,,,,,,,
Mannequin Two: On the Move,4.6,3752426,,,,,,,,,,,
Out for Justice,5.9,39673161,,,,,,,,,,,
Prospero's Books,6.5,1750301,,,,,,,,,,,
Shout,5,3547684,,,,,,,,,,,
Diggstown,6.5,4836637,,,,,,,,,,,
The Mambo Kings,5.9,6742168,,,,,,,,,,,
Shining Through,6.2,21621000,,,,,,,,,,,
Fortress,5.7,6739141,,,,,,,,,,,
Josh and S.A.M.,5,1528163,,,,,,,,,,,
The Night We Never Met,5.6,1884814,,,,,,,,,,,
Philadelphia Experiment II,5,2970,,,,,,,,,,,
Splitting Heirs,4.6,3200000,,,,,,,,,,,
Major League II,5.2,30626182,,,,,,,,,,,
Emma,6.7,22231658,,,,,,,,,,,
"Sick: The Life and Death of Bob Flanagan, Supermasochist",5.9,116806,,,,,,,,,,,
Beowulf,4.4,1531251,,,,,,,,,,,
A Place Called Chiapas,6.9,229000,,,,,,,,,,,
Le Samouraï,7.9,39481,,,,,,,,,,,
Kuch Kuch Hota Hai,7.5,15306000,,,,,,,,,,,
Taxi 2,6.1,60726164,,,,,,,,,,,
The Trumpet Of The Swan,5.1,100202,,,,,,,,,,,
2046,6.9,19271312,,,,,,,,,,,
Long Time Dead,4.5,13102295,,,,,,,,,,,
"Milwaukee, Minnesota",4.3,17350,,,,,,,,,,,
Dil Chahta Hai,7.1,4099000,,,,,,,,,,,
Pure,6.6,102471,,,,,,,,,,,
A Sound of Thunder,4.8,5989640,,,,,,,,,,,
Lemony Snicket's A Series of Unfortunate Events,6.7,209073645,,,,,,,,,,,
Foolproof,6.3,460978,,,,,,,,,,,
The Jacket,6.8,21126225,,,,,,,,,,,
Millions,6.3,6584159,,,,,,,,,,,
Spanglish,5.8,55041367,,,,,,,,,,,
The Interpreter,6.2,162944923,,,,,,,,,,,
Open Water,5.3,54667954,,,,,,,,,,,
Layer Cake,7,11850214,,,,,,,,,,,
Flight of the Phoenix,5.7,21009180,,,,,,,,,,,
Mean Creek,6.9,603943,,,,,,,,,,,
The Ring Two,5.5,161451538,,,,,,,,,,,
The Visual Bible: The Gospel of John,8.2,4069090,,,,,,,,,,,
The Corporation,7.6,4500000,,,,,,,,,,,
She Hate Me,5.1,365134,,,,,,,,,,,
Born into Brothels,6.7,3515061,,,,,,,,,,,
Dig!,7.2,127067,,,,,,,,,,,
Riding Giants,7.6,3166000,,,,,,,,,,,
When Will I Be Loved,4.2,159429,,,,,,,,,,,
What the #$*! Do We (K)now!?,5.8,10000000,,,,,,,,,,,
A Scanner Darkly,6.8,7659918,,,,,,,,,,,
Million Dollar Baby,7.7,216763646,,,,,,,,,,,
Hotel Rwanda,7.5,38000000,,,,,,,,,,,
Charlie and the Chocolate Factory,6.7,474968763,,,,,,,,,,,
The Life Aquatic with Steve Zissou,7.1,34808403,,,,,,,,,,,
The Aviator,5.7,1304192,,,,,,,,,,,
The Woodsman,6.9,4678405,,,,,,,,,,,
Meet the Fockers,6.1,516642939,,,,,,,,,,,
The Assassination of Richard Nixon,6.4,3537961,,,,,,,,,,,
A Love Song for Bobby Long,6.8,1841260,,,,,,,,,,,
White Noise,5.6,91196419,,,,,,,,,,,
Little Miss Marker,6,6321392,,,,,,,,,,,
Little Miss Marker,6,6321392,,,,,,,,,,,
Testament,6.3,2044892,,,,,,,,,,,
Hell's Angels,6.1,8000000,,,,,,,,,,,
Daddy's Dyin'... Who's Got the Will?,5.7,1373728,,,,,,,,,,,
Out Cold,5.8,14782676,,,,,,,,,,,
Man Trouble,4.7,4,,,,,,,,,,,
Stander,6.1,31651,,,,,,,,,,,
Sergeant York,7.1,16361885,,,,,,,,,,,
Deathwatch,5.9,2270658,,,,,,,,,,,
Wizards,6.4,9000000,,,,,,,,,,,
Elektra,4.9,56681566,,,,,,,,,,,
Racing Stripes,5.1,93772522,,,,,,,,,,,
Coach Carter,7.3,76669806,,,,,,,,,,,
Torremolinos 73,6.6,1819410,,,,,,,,,,,
Beastmaster 2: Through the Portal of Time,4.6,869325,,,,,,,,,,,
Moolaadé,5.9,214605,,,,,,,,,,,
Are We There Yet?,5.2,97918663,,,,,,,,,,,
Alone in the Dark,5.5,8178569,,,,,,,,,,,
Hide and Seek,6.1,122644820,,,,,,,,,,,
Boogeyman,4.6,67192859,,,,,,,,,,,
The Wedding Date,6.2,47175038,,,,,,,,,,,
Alice in Wonderland,7,572000000,,,,,,,,,,,
Double Dragon,3.9,2341309,,,,,,,,,,,
Mac and Me,4,5935269,,,,,,,,,,,
The Ballad of the Sad Cafe,5,184890,,,,,,,,,,,
The Deceivers,6.1,346297,,,,,,,,,,,
Going All the Way,4.9,86175,,,,,,,,,,,
Assisted Living,7.5,41,,,,,,,,,,,
Hitch,6.3,368100420,,,,,,,,,,,
Inside Deep Throat,6.8,653621,,,,,,,,,,,
Constantine,6.6,230884728,,,,,,,,,,,
Because of Winn-Dixie,6.1,32645546,,,,,,,,,,,
Until September,6.3,4100000,,,,,,,,,,,
Samson and Delilah,6.1,11500000,,,,,,,,,,,
"No Retreat, No Surrender",5.6,4662137,,,,,,,,,,,
Dr. Giggles,5.1,8403433,,,,,,,,,,,
The Three Musketeers,6.2,53898845,,,,,,,,,,,
The Four Feathers,6.5,29882645,,,,,,,,,,,
Cursed,5.1,19294901,,,,,,,,,,,
The Pacifier,5.8,113006880,,,,,,,,,,,
Be Cool,5.4,95226116,,,,,,,,,,,
Hostage,6.2,77944725,,,,,,,,,,,
Robots,6,260696994,,,,,,,,,,,
Bopha!,0,212483,,,,,,,,,,,
Blackball,5.6,48000,,,,,,,,,,,
Once Upon a Forest,6.2,6582052,,,,,,,,,,,
The Green Berets,5.8,11000000,,,,,,,,,,,
Ice Princess,5.9,27645491,,,,,,,,,,,
Melinda and Melinda,6.3,20085825,,,,,,,,,,,
Guess Who,5.5,68915888,,,,,,,,,,,
The River,6.5,11500000,,,,,,,,,,,
Paradise Alley,5.5,7185518,,,,,,,,,,,
Woman Thou Art Loosed,5,6804016,,,,,,,,,,,
If Looks Could Kill,5.6,7788597,,,,,,,,,,,
Greedy,5.9,13145977,,,,,,,,,,,
Walker,6.4,257043,,,,,,,,,,,
The Ballad of Jack and Rose,6.5,712294,,,,,,,,,,,
Sin City,7.2,158733820,,,,,,,,,,,
Beauty Shop,5.4,36351350,,,,,,,,,,,
Rhinestone,4.9,21435321,,,,,,,,,,,
Blue,7.5,1718328,,,,,,,,,,,
Hawaii,5.8,34562222,,,,,,,,,,,
Carrie,7,33800000,,,,,,,,,,,
Wilson,5.5,2000000,,,,,,,,,,,
The Hitchhiker's Guide to the Galaxy,6.6,104478416,,,,,,,,,,,
The Eiger Sanction,6.2,14200000,,,,,,,,,,,
The Amityville Horror,6.2,86432000,,,,,,,,,,,
The Frisco Kid,6,9346177,,,,,,,,,,,
State Property 2,5.5,1691706,,,,,,,,,,,
The Year of the Yao,5.5,38585,,,,,,,,,,,
A Wake in Providence,0,402805,,,,,,,,,,,
A Lot Like Love,6.5,42886719,,,,,,,,,,,
xXx: State of the Union,4.7,71073932,,,,,,,,,,,
Death of a Dynasty,4,42108,,,,,,,,,,,
Kingdom of Heaven,6.6,211643158,,,,,,,,,,,
House of Wax,7,23800000,,,,,,,,,,,
Mysterious Skin,7.4,1524966,,,,,,,,,,,
Mischief,6.2,8692426,,,,,,,,,,,
San Francisco,7,5273000,,,,,,,,,,,
Road House,6.3,30050028,,,,,,,,,,,
Unleashed,6.6,50871113,,,,,,,,,,,
Star Wars: Episode III - Revenge of the Sith,7.1,850000000,,,,,,,,,,,
Kicking & Screaming,5.6,56070433,,,,,,,,,,,
Monster-in-Law,5.6,154749918,,,,,,,,,,,
9 Songs,5.1,1574623,,,,,,,,,,,
Madagascar,6.6,532680671,,,,,,,,,,,
Airborne,6.1,2850263,,,,,,,,,,,
Dominion: Prequel to the Exorcist,4.8,251495,,,,,,,,,,,
The Longest Yard,6.4,43008075,,,,,,,,,,,
Most Wanted,5.8,11838218,,,,,,,,,,,
Cinderella Man,7.3,108539911,,,,,,,,,,,
The Sisterhood of the Traveling Pants,6.3,39053061,,,,,,,,,,,
Lords of Dogtown,7,13411957,,,,,,,,,,,
The Adventures of Sharkboy and Lavagirl,4.4,69425966,,,,,,,,,,,
Ladies in Lavender,6.5,20377075,,,,,,,,,,,
It's All Gone Pete Tong,7.1,120620,,,,,,,,,,,
Quo Vadis,7,30000000,,,,,,,,,,,
Batman Begins,7.5,374218673,,,,,,,,,,,
Herbie Fully Loaded,5.1,66002004,,,,,,,,,,,
Land of the Dead,6,46770602,,,,,,,,,,,
Bewitched,4.8,131426169,,,,,,,,,,,
Somebody Up There Likes Me,6.8,3360000,,,,,,,,,,,
An Unmarried Woman,6.1,24000000,,,,,,,,,,,
War of the Worlds,6.2,591739379,,,,,,,,,,,
Rebound,5.2,16809014,,,,,,,,,,,
Fantastic Four,5.5,330579719,,,,,,,,,,,
Murderball,6.9,1750211,,,,,,,,,,,
Wedding Crashers,6.4,285176741,,,,,,,,,,,
Hustle & Flow,6.9,23563727,,,,,,,,,,,
Hardware,5.6,5728953,,,,,,,,,,,
Funny Ha Ha,6.3,76901,,,,,,,,,,,
Bad News Bears,5.7,34252847,,,,,,,,,,,
Last Days,5.3,1928985,,,,,,,,,,,
Sky High,5.8,86369815,,,,,,,,,,,
Stealth,4.9,76932943,,,,,,,,,,,
Must Love Dogs,5.8,58405313,,,,,,,,,,,
The Order,4.8,11560806,,,,,,,,,,,
Serenity,7.4,38869464,,,,,,,,,,,
Broken Flowers,6.8,45742101,,,,,,,,,,,
The Heart is Deceitful Above All Things,5.7,176153,,,,,,,,,,,
Man-Thing,4,143000,,,,,,,,,,,
The Dukes of Hazzard,5.1,110803676,,,,,,,,,,,
Deuce Bigalow: European Gigolo,4.6,22400154,,,,,,,,,,,
The Skeleton Key,6.4,91974818,,,,,,,,,,,
Four Brothers,6.7,92374674,,,,,,,,,,,
The Great Raid,6.8,10166502,,,,,,,,,,,
Private Resort,5.5,331816,,,,,,,,,,,
Teen Witch,5.6,27843,,,,,,,,,,,
Black,7.7,733094,,,,,,,,,,,
The 40 Year Old Virgin,6.2,109449237,,,,,,,,,,,
Red Eye,6.2,57891803,,,,,,,,,,,
Dilwale Dulhania Le Jayenge,9.1,100000000,,,,,,,,,,,
Caché,7,36000000,,,,,,,,,,,
Supercross,5.4,3102550,,,,,,,,,,,
Valiant,5.2,19478106,,,,,,,,,,,
The Brothers Grimm,5.6,105316267,,,,,,,,,,,
The Cave,5.2,15007991,,,,,,,,,,,
Undiscovered,4.5,1046166,,,,,,,,,,,
The Constant Gardener,6.9,82466670,,,,,,,,,,,
Transporter 2,6.2,85167639,,,,,,,,,,,
Just Like Heaven,6.5,102854431,,,,,,,,,,,
Proof,6.3,524668,,,,,,,,,,,
Lord of War,7,24127895,,,,,,,,,,,
Cry_Wolf,5.6,10047674,,,,,,,,,,,
Everything is Illuminated,7.4,2697930,,,,,,,,,,,
Thumbsucker,6.2,1919197,,,,,,,,,,,
G,6.8,3020784,,,,,,,,,,,
Revenge of the Ninja,5.8,13168027,,,,,,,,,,,
Doom,5,55987321,,,,,,,,,,,
Domino,6,22944502,,,,,,,,,,,
Waiting...,6.2,18637690,,,,,,,,,,,
Æon Flux,5.4,52304001,,,,,,,,,,,
An Unfinished Life,6.7,18618284,,,,,,,,,,,
The Man,5.4,12382362,,,,,,,,,,,
The Exorcism of Emily Rose,6.3,144216468,,,,,,,,,,,
Flightplan,6.1,223387299,,,,,,,,,,,
Corpse Bride,7.2,117195061,,,,,,,,,,,
Green Street Hooligans,7.1,3154346,,,,,,,,,,,
A History of Violence,6.9,60740827,,,,,,,,,,,
The Greatest Game Ever Played,6.9,15431177,,,,,,,,,,,
Capote,6.9,49084830,,,,,,,,,,,
Into the Blue,5.8,44434439,,,,,,,,,,,
Mirrormask,6.6,866999,,,,,,,,,,,
The Curse of the Were-Rabbit,6.8,192452832,,,,,,,,,,,
Kiss Kiss Bang Bang,7.2,15785148,,,,,,,,,,,
Beowulf & Grendel,6.1,92076,,,,,,,,,,,
Goal!: The Dream Begins,6.6,27610873,,,,,,,,,,,
The Wraith,5.9,3500000,,,,,,,,,,,
In Her Shoes,6,83073883,,,,,,,,,,,
55 Days at Peking,6.5,10000000,,,,,,,,,,,
The Squid and the Whale,6.9,11098131,,,,,,,,,,,
Two for the Money,5.9,30526509,,,,,,,,,,,
Brokeback Mountain,7.5,178043761,,,,,,,,,,,
Elizabethtown,6.1,52034889,,,,,,,,,,,
North Country,6.9,25224242,,,,,,,,,,,
"Good Night, and Good Luck.",6.8,54600000,,,,,,,,,,,
The Fog,6.4,21378361,,,,,,,,,,,
Shopgirl,5.7,11588205,,,,,,,,,,,
Emmanuel's Gift,0,23578,,,,,,,,,,,
Stay,6.5,8342132,,,,,,,,,,,
The Legend of Zorro,5.9,142400065,,,,,,,,,,,
The Weather Man,6,12482775,,,,,,,,,,,
Saw II,6.3,152925093,,,,,,,,,,,
Manderlay,6.9,674918,,,,,,,,,,,
Damnation Alley,5,8720000,,,,,,,,,,,
Jarhead,6.6,96889998,,,,,,,,,,,
Chicken Little,5.6,314432665,,,,,,,,,,,
Romance & Cigarettes,6,2945242,,,,,,,,,,,
Joyeux Noël,7.2,17709155,,,,,,,,,,,
Get Rich or Die Tryin',6.3,46442528,,,,,,,,,,,
Just Friends,5.9,50817508,,,,,,,,,,,
Syriana,6.3,94000000,,,,,,,,,,,
Derailed,6.1,57479076,,,,,,,,,,,
Pride & Prejudice,7.8,121147947,,,,,,,,,,,
Wolf Creek,6.1,27762648,,,,,,,,,,,
Harry Potter and the Goblet of Fire,7.5,895921036,,,,,,,,,,,
Walk the Line,7.3,186438883,,,,,,,,,,,
Rent,6.7,31670620,,,,,,,,,,,
Zathura: A Space Adventure,6.1,64321501,,,,,,,,,,,
Bee Season,5.2,6856989,,,,,,,,,,,
"Yours, Mine & Ours",5.7,72028752,,,,,,,,,,,
First Descent,6,739690,,,,,,,,,,,
Match Point,7.2,85306374,,,,,,,,,,,
Beyond the Gates of Splendor,0,38,,,,,,,,,,,
Paradise Now,6.9,3357075,,,,,,,,,,,
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,748806957,,,,,,,,,,,
King Kong,7.7,10000000,,,,,,,,,,,
Memoirs of a Geisha,7.3,162242962,,,,,,,,,,,
Down,4.1,163169,,,,,,,,,,,
The Matador,6.2,17297244,,,,,,,,,,,
Mozart and the Whale,6.5,84967,,,,,,,,,,,
The Three Burials of Melquiades Estrada,7,12036149,,,,,,,,,,,
Munich,7,130358911,,,,,,,,,,,
Transamerica,6.9,13350369,,,,,,,,,,,
Rumor Has It...,5.3,88933562,,,,,,,,,,,
Cheaper by the Dozen 2,5.8,129181830,,,,,,,,,,,
The Ringer,5.6,40442437,,,,,,,,,,,
Casanova,6.2,37691644,,,,,,,,,,,
Keeping Mum,6.5,18564702,,,,,,,,,,,
The New World,6.4,30536013,,,,,,,,,,,
BloodRayne,3.6,2405420,,,,,,,,,,,
Hostel,5.7,80578934,,,,,,,,,,,
Grandma's Boy,6.6,6538177,,,,,,,,,,,
Tristan & Isolde,6.4,28000000,,,,,,,,,,,
Glory Road,7.2,42647449,,,,,,,,,,,
Last Holiday,6.4,38399961,,,,,,,,,,,
Hoodwinked!,6,51053787,,,,,,,,,,,
Underworld: Evolution,6.4,111340801,,,,,,,,,,,
Revolution,5.3,358574,,,,,,,,,,,
Little Manhattan,6.9,1117920,,,,,,,,,,,
Water,6.7,10422387,,,,,,,,,,,
Bandidas,5.8,10496317,,,,,,,,,,,
Annapolis,6,17496992,,,,,,,,,,,
Big Momma's House 2,5.4,138259062,,,,,,,,,,,
Nanny McPhee,6.4,122489822,,,,,,,,,,,
Sweet November,6.4,65754228,,,,,,,,,,,
Final Destination 3,5.8,117719158,,,,,,,,,,,
Something New,6.2,11400000,,,,,,,,,,,
Dave Chappelle's Block Party,6.5,11718595,,,,,,,,,,,
Imagine Me & You,7,2455831,,,,,,,,,,,
The Pink Panther,6.9,10878107,,,,,,,,,,,
Troll,4.9,5450815,,,,,,,,,,,
Curious George,6.1,69834815,,,,,,,,,,,
Firewall,5.6,82800000,,,,,,,,,,,
Tamara,5.1,206871,,,,,,,,,,,
Freedomland,5.2,14655628,,,,,,,,,,,
Winter Passing,6.7,113783,,,,,,,,,,,
